energy,liveness,speechiness,danceability,valence,uri,genre
0.954,0.143,0.0748,0.395,0.355,spotify:track:4mfXuV5q33ab0EqFK7Ym2E,alternative metal nu metal post-grunge
0.663,0.127,0.265,0.643,0.181,spotify:track:4BWBbJ9MKpnt30SFYEomzJ,detroit hip hop gangster rap hip hop pop rap rap
0.983,0.294,0.0721,0.402,0.363,spotify:track:6Lah64e21cUytn0QXfuOoF,alternative metal christian rock gymcore nu metal post-grunge post-screamo rap rock
0.967,0.442,0.0601,0.641,0.725,spotify:track:3u1Er1rkjn1oSz1xdZH3ZD,indie pop indietronica modern alternative rock modern rock rock
0.914,0.571,0.11,0.342,0.236,spotify:track:4HSOUsVciyKpao5p5xeGVq,alternative metal
0.629,0.0742,0.0442,0.841,0.87,spotify:track:0aj2QKJvz6CePykmlTApiD,dance pop pop
0.956,0.0588,0.118,0.52,0.448,spotify:track:6RYO4OMLw6uEJ4XiaZUKpD,antiviral pop
0.666,0.286,0.0317,0.612,0.353,spotify:track:1Jj35pWytKHrwh36IanRVh,alternative metal canadian ccm canadian metal canadian rock christian alternative rock christian rock nu metal rap metal
0.967,0.61,0.0508,0.529,0.596,spotify:track:0UFDKFqW2oGspYeYqo9wjA,alternative metal nu metal post-grunge rap metal
0.943,0.091,0.0602,0.442,0.781,spotify:track:6L89mwZXSOwYl76YXfX13s,permanent wave pop punk punk
0.714,0.0683,0.0391,0.516,0.312,spotify:track:5UYYQuk6SjY3S892UuLXE3,modern alternative rock rebel blues
0.849,0.0878,0.0536,0.757,0.826,spotify:track:6rrTr2HEAzlpC4KWZxF3S1,dance pop girl group pop pop dance post-teen pop talent show uk pop
0.923,0.373,0.089,0.633,0.473,spotify:track:5Ep3T0EPeNP6FYN9S3KhiL,alternative metal canadian ccm canadian metal canadian rock christian alternative rock christian rock nu metal rap metal
0.878,0.0771,0.0326,0.532,0.579,spotify:track:6jg3Om6ZBMKlylforWGPEC,alternative metal canadian ccm canadian metal canadian rock christian alternative rock christian rock nu metal rap metal
0.633,0.0804,0.0682,0.532,0.448,spotify:track:4iWYPj04kHXcZK0st5yzZf,alternative metal canadian ccm canadian metal canadian rock christian alternative rock christian rock nu metal rap metal
0.851,0.244,0.0987,0.44,0.35,spotify:track:2UwnMpsOKF2LjIsbi9MTAD,alternative metal canadian ccm canadian metal canadian rock christian alternative rock christian rock nu metal rap metal
0.868,0.137,0.0517,0.596,0.869,spotify:track:558xLpqJNy4jFTs6eXaR58,contemporary country country country road modern country rock redneck texas country
0.734,0.13,0.0316,0.754,0.704,spotify:track:0q3xdwnXoHgHsc32CxpTG4,channel pop neo mellow pop viral pop
0.851,0.237,0.0645,0.365,0.309,spotify:track:1sWeSMifj6Z6kZyI6z3bRc,modern rock pop rock
0.703,0.0979,0.0429,0.605,0.414,spotify:track:7dzFz1IeET9tLaZYF9b3NO,contemporary country country country road modern country rock redneck texas country
0.856,0.274,0.0565,0.717,0.645,spotify:track:7I8EGPtqTwlC0UlCAkpYtP,boy band dance pop pop post-teen pop viral pop
0.891,0.256,0.119,0.741,0.449,spotify:track:3cFsmM51N5zMAuu1nNY4Tw,dance pop dancehall pop pop dance pop rap
0.741,0.289,0.0287,0.72,0.357,spotify:track:6WkJ2OK163XXS2oARUC9JM,chicago house
0.563,0.143,0.0272,0.452,0.209,spotify:track:7JIuqL4ZqkpfGKQhYlrirs,candy pop emo pixie pop emo pop punk
0.884,0.0973,0.0404,0.757,0.398,spotify:track:7KxhSJOYiqCDclXDBNlFSZ,dance pop pop pop dance post-teen pop
0.713,0.0843,0.112,0.663,0.69,spotify:track:17Fd6Yb7mSbinKG8LoWfFl,dance pop edm pop pop dance pop rap
0.308,0.0984,0.029,0.669,0.52,spotify:track:7AFASza1mXqntmGtbxXprO,emo rap miami hip hop
0.792,0.0945,0.0348,0.72,0.608,spotify:track:6U9DkOyy5hLDTdEALgSVDX,dakke dak danish pop
0.861,0.082,0.109,0.663,0.654,spotify:track:4356Typ82hUiFAynbLYbPn,atl hip hop dance pop pop r&b south carolina hip hop urban contemporary
0.804,0.204,0.0448,0.724,0.306,spotify:track:0tBbt8CrmxbjRP0pueQkyU,dance pop pop pop dance post-teen pop
0.7,0.153,0.0694,0.762,0.608,spotify:track:2ekn2ttSfGqwhhate0LSR0,dance pop pop pop dance uk pop
0.523,0.132,0.03,0.765,0.394,spotify:track:1rfofaqEpACxVEHIZBJe6W,dance pop pop pop dance post-teen pop
